date,ensemble,dji
2023-05-11,885400.8541113819,910467.6334846823
2023-05-12,881434.3702551808,910224.6210270907
2023-05-15,883323.7819983448,911536.098187283
2023-05-16,878778.1757666554,902339.4219912394
2023-05-17,886758.3009497608,913508.7058999388
2023-05-18,894214.9527136768,916655.9094148641
2023-05-19,892968.120453545,913668.8634950124
2023-05-22,893621.3842474903,909840.7766575643
2023-05-23,883710.4054877247,903524.9085099738
2023-05-24,878054.2165076222,896538.7274411353
2023-05-25,887234.2689063038,895574.6321046576
2023-05-26,897601.4439246143,904558.8859437687
2023-05-30,900399.5054175343,903176.939441744
2023-05-31,897574.9335181202,899500.2549175055
2023-06-01,900811.2603308643,903690.5114632798
2023-06-02,911834.1631781544,922856.5708657319
2023-06-05,912773.2911231008,917392.5275804725
2023-06-06,909913.9572455372,917677.3945562433
2023-06-07,900477.7717749561,920184.928636445
2023-06-08,904928.143967339,924793.0897336312
2023-06-09,905185.7708746876,925973.1308941331
2023-06-12,911732.1981055224,931154.1223230325
2023-06-13,919314.544937798,935139.1636036527
2023-06-14,922497.2054602588,928776.1023513804
2023-06-15,942968.8504645312,940494.8335829123
2023-06-16,937767.0367285694,937517.1835753048
2023-06-20,931898.3759772266,930813.6272759062
2023-06-21,924725.6202246632,928015.9944051614
2023-06-22,933011.5583350149,927884.558405471
2023-06-23,924837.492630669,921890.8205674383
2023-06-26,915338.6874091114,921543.1718143987
2023-06-27,922004.5560919727,927338.6345497303
2023-06-28,922496.5681311572,925313.8154610804
2023-06-29,928145.6872107472,932687.3643665366
2023-06-30,941650.174057671,940482.3412904965
2023-07-03,941985.7775275196,940779.3802434929
2023-07-05,940463.1706091848,937230.7150235833
2023-07-06,939232.1784979786,927216.2741470941
2023-07-07,931356.467240044,922094.4342566419
2023-07-10,931751.329250359,927821.3495412819
2023-07-11,934100.4091209644,936486.7296086015
2023-07-12,942798.1785902638,938837.6295608212
2023-07-13,951776.7657490772,940141.7394716402
2023-07-14,955645.5555625996,943254.7760329497
2023-07-17,965288.5098924488,945340.8820946479
2023-07-18,982619.5070350118,955360.7683293695
2023-07-19,980145.1696937032,958347.8142492212
2023-07-20,973695.1116409076,962829.6643897594
2023-07-21,967527.1760617452,962898.318612181
2023-07-24,975946.3942403644,967915.3086637252
2023-07-25,980332.6788455128,968648.7236774319
2023-07-26,968689.1515320668,970891.463867112
2023-07-27,955063.4799923482,964402.4119733819
2023-07-28,969253.0909841084,969228.7077150584
2023-07-31,968657.6072083516,971968.6838515766
2023-08-01,966807.4614222036,973913.4241426898
2023-08-02,948374.4043570486,964396.9666151493
2023-08-03,947631.6734955068,962575.7612157029
2023-08-04,939080.9465057608,958468.3595324466
2023-08-07,940383.11921563,969606.999954622
2023-08-08,933889.2013553396,965270.7864538707
2023-08-09,922828.6131496512,960046.5524743014
2023-08-10,923037.9234742057,961489.4656341841
2023-08-11,922424.4716486743,964366.3231286253
2023-08-14,928729.5856328512,965083.2952959045
2023-08-15,915661.9090884632,955209.3660161599
2023-08-16,912424.6984408804,950271.4938165821
2023-08-17,901960.849716515,942319.8827646404
2023-08-18,902621.287506432,943025.9642154548
2023-08-21,912210.641663384,942015.4765622705
2023-08-22,908157.9727333304,937235.8400666255
2023-08-23,920326.506801644,942269.3797363272
2023-08-24,905595.1696434407,932058.6924200079
2023-08-25,911646.6716270832,938823.1086055345
2023-08-28,915317.5035667806,944647.3997079793
2023-08-29,928354.1968072134,952647.6986688235
2023-08-30,932107.6484212118,953674.522396705
2023-08-31,927504.2402318502,949073.5150054321
2023-09-01,931583.646634438,952238.7629427357
2023-09-05,934702.9406478658,946888.4315499784
2023-09-06,925086.3741583944,941455.1385229733
2023-09-07,912400.0651373984,943027.8861065956
2023-09-08,918731.5535712362,945101.3931041479
2023-09-11,925951.071591866,947482.9365428915
2023-09-12,918514.739387383,946998.299660199
2023-09-13,921065.9419642416,945072.4579653045
2023-09-14,932377.51292524,954135.6694987868
2023-09-15,921896.817419518,946239.7932899306
2023-09-18,924269.1973175892,946405.5030149667
2023-09-19,924693.4269920124,943492.5566757689
2023-09-20,910250.1320243764,941391.9296587843
2023-09-21,904157.8836519094,931266.019096124
2023-09-22,899294.1041752554,928352.7524417359
2023-09-25,903192.0597264027,929529.1633634163
2023-09-26,888659.0834538199,918923.7409611058
2023-09-27,889353.380717568,917048.4022945245
2023-09-28,894873.2516590352,920221.0174812016
2023-09-29,891417.2504748006,915879.3586222176
2023-10-02,897978.3819767843,913852.6176424269
2023-10-03,885263.7864317404,902072.5994378468
2023-10-04,894017.8421720968,
