date,ensemble,date,account_value,dji
2023-04-21,843812.9317227174,,,924119.3601170218
2023-04-24,845088.9957295533,,,925935.3337016958
2023-04-25,832969.3660830689,,,916516.9993940704
2023-04-26,829407.8625104524,,,910258.7879807063
2023-04-27,846795.433545517,,,924589.4760444277
2023-04-28,852915.2885537568,,,932024.2051512022
2023-05-01,859683.7008739167,,,930754.2621939989
2023-05-02,851019.1277095948,,,920718.2534280398
2023-05-03,839798.7564116365,,,913330.183567297
2023-05-04,829897.1932425539,,,905499.1177985806
2023-05-05,858548.3513514253,,,920440.7537016425
2023-05-08,859296.4606342164,,,918918.6159180633
2023-05-09,852892.4871845094,,,917363.8059850894
2023-05-10,857191.2097742616,,,916530.6661755167
2023-05-11,856318.9938913728,,,910467.6334846823
2023-05-12,848691.5393808137,,,910224.6210270907
2023-05-15,850582.3328442536,,,911536.098187283
2023-05-16,848118.8684109346,,,902339.4219912394
2023-05-17,861122.5220928041,,,913508.7058999388
2023-05-18,870473.4433886567,,,916655.9094148641
2023-05-19,869665.2025123902,,,913668.8634950124
2023-05-22,864821.7330611115,,,909840.7766575643
2023-05-23,854296.703118683,,,903524.9085099738
2023-05-24,850674.4683338014,,,896538.7274411353
2023-05-25,854030.8846031037,,,895574.6321046576
2023-05-26,863834.9787603151,,,904558.8859437687
2023-05-30,869882.9079591371,,,903176.939441744
2023-05-31,865832.670682541,,,899500.2549175055
2023-06-01,876144.0484677583,,,903690.5114632798
2023-06-02,886408.7106504061,,,922856.5708657319
2023-06-05,879816.8539591219,,,917392.5275804725
2023-06-06,879534.820226349,,,917677.3945562433
2023-06-07,878772.5212147676,,,920184.928636445
2023-06-08,885622.2426887819,,,924793.0897336312
2023-06-09,887370.4069615785,,,925973.1308941331
2023-06-12,895014.7159325868,,,931154.1223230325
2023-06-13,896375.6495151216,,,935139.1636036527
2023-06-14,896771.2239444123,,,928776.1023513804
2023-06-15,906647.8090397798,,,940494.8335829123
2023-06-16,904481.9030072786,,,937517.1835753048
2023-06-20,901943.8644599458,,,930813.6272759062
2023-06-21,898033.1948941499,,,928015.9944051614
2023-06-22,899463.2368648836,,,927884.558405471
2023-06-23,895860.6295372164,,,921890.8205674383
2023-06-26,892482.746308304,,,921543.1718143987
2023-06-27,898843.141708542,,,927338.6345497303
2023-06-28,899931.7114115144,,,925313.8154610804
2023-06-29,912597.6540363618,,,932687.3643665366
2023-06-30,927921.256501694,,,940482.3412904965
2023-07-03,928457.0793677064,,,940779.3802434929
2023-07-05,923580.44206308,,,937230.7150235833
