date,ensemble,date,account_value,dji
2022-07-22,902592.3693963544,,,871921.2238175699
2022-07-25,905431.042095329,,,874401.744650069
2022-07-26,905348.0445443648,,,868156.0255291206
2022-07-27,919894.7856713788,,,880074.8469827644
2022-07-28,917213.198787834,,,889150.7109662574
2022-07-29,925401.1316720502,,,897774.3966729929
2022-08-01,918790.9661981122,,,896497.0864664163
2022-08-02,910707.902126457,,,885502.7480374022
2022-08-03,931801.5136987226,,,896882.5324118934
2022-08-04,929775.03250518,,,894540.6012849978
2022-08-05,930581.6733285444,,,896635.6761720199
2022-08-08,930273.2414590376,,,897430.2713870449
2022-08-09,933181.3030740278,,,895841.4012721851
2022-08-10,952486.281788017,,,910467.6334846823
2022-08-11,945218.4726678388,,,911210.0173237132
2022-08-12,955249.544414665,,,922809.8048479704
2022-08-15,963012.217182304,,,926947.8500177509
2022-08-16,967391.1029778974,,,933496.1602216582
2022-08-17,968924.9391290204,,,928803.2223708129
2022-08-18,965606.0031243818,,,929314.8725012079
2022-08-19,959277.6152154462,,,921325.2507133685
2022-08-22,941180.9000817792,,,903746.2463063655
2022-08-23,934956.8907281416,,,899536.3437622621
2022-08-24,935912.2668954388,,,901166.5345366508
2022-08-25,946108.924732353,,,909982.9966019897
2022-08-26,918788.5626031416,,,882420.3549626165
2022-08-29,911000.6488915936,,,877379.7683587316
2022-08-30,904796.6638146894,,,868957.7210641939
2022-08-31,902531.3832742232,,,861292.3116346485
2022-09-01,914549.3919106976,,,865282.7448876362
2022-09-02,903095.7960320966,,,856044.5344886034
2022-09-06,899867.8341485517,,,851312.037711775
2022-09-07,909682.6245385665,,,863228.8838884128
2022-09-08,909564.2137795942,,,868510.8279880736
2022-09-09,920943.484737541,,,878820.8130133385
2022-09-12,917380.6057397382,,,885097.389164271
2022-09-13,871761.1224023359,,,850209.6729848838
2022-09-14,877307.2288705365,,,851032.9364094269
2022-09-15,871007.927730705,,,846296.8627796419
2022-09-16,872984.820850517,,,842486.5534352469
2022-09-19,881909.389209892,,,847878.3656451281
2022-09-20,880006.6340829389,,,839310.6817108035
2022-09-21,863928.4515954511,,,825030.2297460701
2022-09-22,866766.2361642377,,,822102.8158374507
2022-09-23,858312.1201516645,,,808811.3370222966
2022-09-26,857056.4368173139,,,799802.2053700841
2022-09-27,856973.2986489789,,,796363.0879452047
2022-09-28,863499.0886880414,,,811362.3805824933
2022-09-29,840174.9016381757,,,798840.0319247473
2022-09-30,823318.0902291791,,,785170.5277993546
2022-10-03,845127.0877877729,,,806091.1136558373
2022-10-04,862393.9883386152,,,828653.047932499
2022-10-05,863602.9926853788,,,827492.706156191
2022-10-06,854396.4029135968,,,818009.881723616
2022-10-07,835723.893426048,,,800785.6263897007
2022-10-10,841029.9458288953,,,798218.780613457
2022-10-11,860606.6498723599,,,799211.2238442628
2022-10-12,861605.2043157193,,,798436.5949427569
2022-10-13,885809.0812993619,,,821065.2615506992
2022-10-14,873944.474304733,,,810025.4917505492
2022-10-17,889670.035975311,,,825086.0179750208
2022-10-18,892269.1541540906,,,834324.2283740534
2022-10-19,884144.7251849744,,,831591.1390141231
2022-10-20,881502.1758990857,,,829125.0857510457
2022-10-21,901818.8553882214,,,849597.1235695925
2022-10-24,925723.593208618,,,860996.8208717378
2022-10-25,931029.209834892,,,870211.5414901597
2022-10-26,930657.0240888136,,,870276.2985444344
2022-10-27,919782.5436658398,,,875583.6543158469
2022-10-28,960477.0381650464,,,898230.0984168422
2022-10-31,947268.0109052196,,,894708.1261294447
2022-11-01,943241.9834165112,,,892528.2744887637
2022-11-02,921847.3735837477,,,878712.8134083939
2022-11-03,899931.1353482739,,,874708.1795153097
2022-11-04,907830.7664746776,,,885695.4710101407
2022-11-07,926046.1029767528,,,897278.8690738353
2022-11-08,956339.4360227124,,,906403.5811238257
2022-11-09,938893.208758308,,,888721.8089266506
2022-11-10,975754.5613126294,,,921561.216236777
2022-11-11,972499.4568662182,,,922449.2367155949
2022-11-14,967818.68025489,,,916677.4773043342
2022-11-15,968763.7785977856,,,918214.2428149299
2022-11-16,969967.193942024,,,917145.6713405991
2022-11-17,980991.1122540968,,,916940.4560754449
2022-11-18,982314.6427793042,,,922389.9784054176
2022-11-21,976473.5720242992,,,921148.7570435975
2022-11-22,980614.7830686108,,,932022.6035752513
2022-11-23,976811.373980476,,,934645.451123906
2022-11-25,970561.3916196362,,,938826.7388443562
2022-11-28,957328.3392819896,,,925226.3694141703
2022-11-29,948871.260485603,,,925310.2919939887
2022-11-30,977923.547747566,,,945461.6409213332
2022-12-01,977338.5775479808,,,940138.2160045485
2022-12-02,975340.202609016,,,941091.2604669661
2022-12-05,969508.2631635204,,,927895.2355784759
2022-12-06,956252.7795972364,,,918307.6680787228
2022-12-07,956053.0312833324,,,918350.9106293927
2022-12-08,960787.9013547436,,,923368.2209961268
2022-12-09,945968.9200696484,,,915030.950455248
2022-12-12,950347.6128873364,,,929478.8738785632
2022-12-13,945513.4814633862,,,932310.6737029237
2022-12-14,938143.0504483716,,,928421.4066641575
2022-12-15,910204.8029584424,,,907534.9343754255
2022-12-16,906466.6634978713,,,899833.4894869885
2022-12-19,896690.1679267957,,,895380.2541701033
2022-12-20,895251.7184944226,,,897900.3873144508
2022-12-21,906406.321048744,,,912298.1280246429
2022-12-22,894708.4127388074,,,902758.928118602
2022-12-23,891541.1878547742,,,907581.7003931869
2022-12-27,885633.9021949841,,,908610.2324687493
2022-12-28,871752.5435295178,,,898610.3125475467
2022-12-29,885736.9692497327,,,908042.8474952687
2022-12-30,885075.0054588391,,,906032.4425901753
2023-01-03,871819.3732185437,,,905735.0833219888
2023-01-04,876097.4167976453,,,909381.3379031633
2023-01-05,875535.1830846021,,,900096.3614863693
2023-01-06,903052.649727516,,,919244.376466443
2023-01-09,894202.3175821302,,,916156.751576885
2023-01-10,903741.1244410168,,,921253.1797955856
2023-01-11,908140.4420435712,,,928603.4524638911
2023-01-12,904395.3405523144,,,934533.6611225446
2023-01-13,910886.2859910808,,,937612.5307302385
2023-01-17,905677.1812116468,,,926904.3939236209
2023-01-18,890152.4824048841,,,910124.5759160346
2023-01-19,882822.6995374524,,,903225.5205789164
2023-01-20,891146.1910778577,,,912271.0080052104
2023-01-23,894255.9539867933,,,919215.6548710598
2023-01-24,895375.539802223,,,922069.3429000804
2023-01-25,889340.5295940931,,,922339.3686053744
2023-01-26,889550.3556133802,,,927958.3376709349
2023-01-27,896819.277000099,,,928741.9353977648
2023-01-30,895922.5665704724,,,921608.1957979986
2023-01-31,896609.8613550183,,,931692.8924728599
2023-02-01,897285.395708656,,,931882.0919785068
2023-02-02,900618.5929605481,,,930815.549167047
2023-02-03,900361.0304025647,,,927318.7750079412
2023-02-06,898363.2809457775,,,926362.3138501619
2023-02-07,906038.6244272228,,,933624.0727542569
2023-02-08,905626.7333703992,,,927947.4469544699
2023-02-09,903412.8394983287,,,921137.7595554026
2023-02-10,902799.6425790784,,,925767.8088572489
2023-02-13,912938.8206369396,,,936063.272927227
2023-02-14,913483.0778192516,,,931781.1926936104
2023-02-15,910441.4934946058,,,932841.2224295373
2023-02-16,897653.6958917615,,,921055.0114646145
2023-02-17,891047.6341562269,,,924603.9969997144
2023-02-21,877337.6161233899,,,905549.7275986237
2023-02-22,877378.5611001966,,,903240.041534203
2023-02-23,883570.5415323254,,,906214.488389909
2023-02-24,872040.3199228283,,,897003.3980103089
2023-02-27,871990.771918678,,,898976.0057229648
2023-02-28,871841.1815927502,,,892623.9419588875
2023-03-01,869133.1317896802,,,892764.453555632
2023-03-02,878060.4239649732,,,902105.1648155118
2023-03-03,894358.9406580884,,,912694.1443713948
2023-03-06,897589.1285548169,,,913800.4062664328
2023-03-07,884351.9100489576,,,898084.1414618652
2023-03-08,882422.5206751783,,,896497.0864664163
2023-03-09,874061.6943201978,,,881640.2273170133
2023-03-10,853294.9084620435,,,872204.1689021997
2023-03-13,848058.8053736646,,,869730.4814604238
2023-03-14,875082.4648585279,,,878921.6589123697
2023-03-15,876467.330733772,,,871245.5723098196
2023-03-16,900741.9548487624,,,881413.1238471989
2023-03-17,898946.4638209302,,,870901.4470238715
2023-03-20,888443.9890894849,,,881359.2575093893
2023-03-21,903455.2896265944,,,889997.1972420863
2023-03-22,896687.425063606,,,875497.0090569119
2023-03-23,907892.8249049146,,,877550.8700561352
2023-03-24,907920.9776148757,,,881166.5345366508
2023-03-27,905955.5289149244,,,886484.3005517429
2023-03-28,895644.311782356,,,885450.2697320831
2023-03-29,915509.4776759108,,,894288.566616217
2023-03-30,920493.953567024,,,898154.3972602374
2023-03-31,934488.5815882642,,,909501.0290125484
2023-04-03,929891.2586207348,,,918439.1040784131
2023-04-04,927317.1195521314,,,913006.0245948681
2023-04-05,919613.5128321608,,,915201.9987667865
2023-04-06,929864.6591512524,,,915272.2545651589
2023-04-10,929821.539505821,,,918039.2439493795
2023-04-11,918016.8080536878,,,920725.3003622231
2023-04-12,913874.371570442,,,919678.7238642824
2023-04-13,932752.354128456,,,930152.7102669026
2023-04-14,926813.6427793195,,,926237.9247846548
2023-04-17,933041.8177792736,,,928990.713528779
2023-04-18,933385.2327727582,,,928702.3230859165
2023-04-19,934550.4462082288,,,926526.1016840572
2023-04-20,926780.7620155104,,,923508.7325928714
2023-04-21,926656.8909410476,,,924119.3601170218
2023-04-24,912898.3053840406,,,925935.3337016958
2023-04-25,891459.5998041914,,,916516.9993940704
2023-04-26,933040.0126483534,,,910258.7879807063
2023-04-27,958239.4194471204,,,924589.4760444277
2023-04-28,968184.626749397,,,932024.2051512022
2023-05-01,961450.3889226912,,,930754.2621939989
2023-05-02,952030.0025390546,,,920718.2534280398
2023-05-03,947857.749342552,,,913330.183567297
2023-05-04,945404.2906309124,,,905499.1177985806
2023-05-05,963550.8536112288,,,920440.7537016425
2023-05-08,959130.1879969252,,,918918.6159180633
2023-05-09,955362.1784902113,,,917363.8059850894
2023-05-10,962841.8001425704,,,916530.6661755167
2023-05-11,956696.3355107344,,,910467.6334846823
2023-05-12,953636.940456291,,,910224.6210270907
2023-05-15,957133.9746469648,,,911536.098187283
2023-05-16,959883.2240560682,,,902339.4219912394
2023-05-17,970875.4995920483,,,913508.7058999388
2023-05-18,983152.7782198408,,,916655.9094148641
2023-05-19,982087.567855644,,,913668.8634950124
2023-05-22,991122.5894165266,,,909840.7766575643
2023-05-23,973308.9332047498,,,903524.9085099738
2023-05-24,967889.77060894,,,896538.7274411353
2023-05-25,996842.109436363,,,895574.6321046576
2023-05-26,1020965.9036903608,,,904558.8859437687
2023-05-30,1018536.425952934,,,903176.939441744
2023-05-31,1012264.113118019,,,899500.2549175055
2023-06-01,1027740.9615857007,,,903690.5114632798
2023-06-02,1042314.6692658766,,,922856.5708657319
2023-06-05,1041841.5058451156,,,917392.5275804725
2023-06-06,1041845.1965005416,,,917677.3945562433
2023-06-07,1017848.6028355482,,,920184.928636445
2023-06-08,1022089.9671272964,,,924793.0897336312
2023-06-09,1026163.597343086,,,925973.1308941331
2023-06-12,1040274.2180470655,,,931154.1223230325
2023-06-13,1048105.6600451889,,,935139.1636036527
2023-06-14,1053954.3092816847,,,928776.1023513804
2023-06-15,1076463.0302881391,,,940494.8335829123
2023-06-16,1062811.9790848768,,,937517.1835753048
2023-06-20,1050768.683232643,,,930813.6272759062
2023-06-21,1039516.353024986,,,928015.9944051614
2023-06-22,1051303.985734108,,,927884.558405471
2023-06-23,1041888.6448723982,,,921890.8205674383
2023-06-26,1028852.7970393142,,,921543.1718143987
2023-06-27,1040659.7199999924,,,927338.6345497303
2023-06-28,1044616.5247775344,,,925313.8154610804
2023-06-29,1046379.9331129224,,,932687.3643665366
2023-06-30,1058499.922383171,,,940482.3412904965
2023-07-03,1055466.13379998,,,940779.3802434929
2023-07-05,1055679.7785391768,,,937230.7150235833
2023-07-06,1056615.9673884504,,,927216.2741470941
2023-07-07,1047543.0411799544,,,922094.4342566419
2023-07-10,1040642.9617025068,,,927821.3495412819
2023-07-11,1045010.0115079876,,,936486.7296086015
2023-07-12,1052576.5666512526,,,938837.6295608212
2023-07-13,1061560.2653525618,,,940141.7394716402
2023-07-14,1064347.783767723,,,943254.7760329497
2023-07-17,1068320.8155518416,,,945340.8820946479
2023-07-18,1094879.3232687148,,,955360.7683293695
2023-07-19,1086597.353383003,,,958347.8142492212
2023-07-20,1071956.64114167,,,962829.6643897594
2023-07-21,1057967.2452988357,,,962898.318612181
2023-07-24,1058053.8137315903,,,967915.3086637252
2023-07-25,1066125.9301594924,,,968648.7236774319
2023-07-26,1046505.0230722884,,,970891.463867112
2023-07-27,1030724.5272715376,,,964402.4119733819
2023-07-28,1045760.1020518112,,,969228.7077150584
2023-07-31,1046189.6668333664,,,971968.6838515766
2023-08-01,1047411.9160406266,,,973913.4241426898
2023-08-02,1030951.810708809,,,964396.9666151493
2023-08-03,1028976.5515471878,,,962575.7612157029
2023-08-04,1027545.649853218,,,958468.3595324466
2023-08-07,1033222.996770775,,,969606.999954622
2023-08-08,1026952.4776298144,,,965270.7864538707
2023-08-09,1019220.6546462328,,,960046.5524743014
2023-08-10,1019703.832790764,,,961489.4656341841
2023-08-11,1019493.988620476,,,964366.3231286253
2023-08-14,1024986.6230803452,,,965083.2952959045
2023-08-15,1015819.4144808734,,,955209.3660161599
2023-08-16,1013129.5958764728,,,950271.4938165821
2023-08-17,1008164.1577347338,,,942319.8827646404
2023-08-18,1007325.2601359638,,,943025.9642154548
2023-08-21,1013448.89652903,,,942015.4765622705
2023-08-22,1011581.5820104145,,,937235.8400666255
