date,ensemble,date,account_value
28-02-2023,871841.1816,,
01-03-2023,869133.1318,,
02-03-2023,878060.424,,
03-03-2023,894358.9407,,
06-03-2023,897589.1286,,
07-03-2023,884351.91,,
08-03-2023,882422.5207,,
09-03-2023,874061.6943,,
10-03-2023,853294.9085,,
13-03-2023,848058.8054,,
14-03-2023,875082.4649,,
15-03-2023,876467.3307,,
16-03-2023,900741.9548,,
17-03-2023,898946.4638,,
20-03-2023,888443.9891,,
21-03-2023,903455.2896,,
22-03-2023,896687.4251,,
23-03-2023,907892.8249,,
24-03-2023,907920.9776,,
27-03-2023,905955.5289,,
28-03-2023,895644.3118,,
29-03-2023,915509.4777,,
30-03-2023,920493.9536,,
31-03-2023,934488.5816,,
03-04-2023,929891.2586,,
04-04-2023,927317.1196,,
05-04-2023,919613.5128,,
06-04-2023,929864.6592,,
10-04-2023,929821.5395,,
11-04-2023,918016.8081,,
12-04-2023,913874.3716,,
13-04-2023,932752.3541,,
14-04-2023,926813.6428,,
17-04-2023,933041.8178,,
18-04-2023,933385.2328,,
19-04-2023,934550.4462,,
20-04-2023,926780.762,,
21-04-2023,926656.8909,,
24-04-2023,912898.3054,,
25-04-2023,891459.5998,,
26-04-2023,933040.0126,,
27-04-2023,958239.4194,,
28-04-2023,968184.6267,,
01-05-2023,961450.3889,,
02-05-2023,952030.0025,,
03-05-2023,947857.7493,,
04-05-2023,945404.2906,,
05-05-2023,963550.8536,,
08-05-2023,959130.188,,
09-05-2023,955362.1785,,
10-05-2023,962841.8001,,
11-05-2023,956696.3355,,
12-05-2023,953636.9405,,
15-05-2023,957133.9746,,
16-05-2023,959883.2241,,
17-05-2023,970875.4996,,
18-05-2023,983152.7782,,
19-05-2023,982087.5679,,
22-05-2023,991122.5894,,
23-05-2023,973308.9332,,
24-05-2023,967889.7706,,
25-05-2023,996842.1094,,
26-05-2023,1020965.904,,
30-05-2023,1018536.426,,
31-05-2023,1012264.113,,
01-06-2023,1027740.962,,
02-06-2023,1042314.669,,
05-06-2023,1041841.506,,
06-06-2023,1041845.197,,
07-06-2023,1017848.603,,
08-06-2023,1022089.967,,
09-06-2023,1026163.597,,
12-06-2023,1040274.218,,
13-06-2023,1048105.66,,
14-06-2023,1053954.309,,
15-06-2023,1076463.03,,
16-06-2023,1062811.979,,
20-06-2023,1050768.683,,
21-06-2023,1039516.353,,
22-06-2023,1051303.986,,
23-06-2023,1041888.645,,
26-06-2023,1028852.797,,
27-06-2023,1040659.72,,
28-06-2023,1044616.525,,
29-06-2023,1046379.933,,
30-06-2023,1058499.922,,
03-07-2023,1055466.134,,
05-07-2023,1055679.779,,
06-07-2023,1056615.967,,
07-07-2023,1047543.041,,
10-07-2023,1040642.962,,
11-07-2023,1045010.012,,
12-07-2023,1052576.567,,
13-07-2023,1061560.265,,
14-07-2023,1064347.784,,
17-07-2023,1068320.816,,
18-07-2023,1094879.323,,
19-07-2023,1086597.353,,
20-07-2023,1071956.641,,
21-07-2023,1057967.245,,
24-07-2023,1058053.814,,
25-07-2023,1066125.93,,
26-07-2023,1046505.023,,
27-07-2023,1030724.527,,
28-07-2023,1045760.102,,
31-07-2023,1046189.667,,
01-08-2023,1047411.916,,
02-08-2023,1030951.811,,
03-08-2023,1028976.552,,
04-08-2023,1027545.65,,
07-08-2023,1033222.997,,
08-08-2023,1026952.478,,
09-08-2023,1019220.655,,
10-08-2023,1019703.833,,
11-08-2023,1019493.989,,
14-08-2023,1024986.623,,
15-08-2023,1015819.414,,
16-08-2023,1013129.596,,
17-08-2023,1008164.158,,
18-08-2023,1007325.26,,
21-08-2023,1013448.897,,
22-08-2023,1011581.582,,
23-08-2023,1017068.881,,
24-08-2023,1007454.19,,
25-08-2023,1011416.59,,
28-08-2023,1013306.47,,
29-08-2023,1020154.881,,
30-08-2023,1019945.613,,
31-08-2023,1015503.28,,
01-09-2023,1018365.956,,
05-09-2023,1022050.552,,
06-09-2023,1016784.6,,
07-09-2023,1014266.148,,
08-09-2023,1019681.226,,
11-09-2023,1024347.817,,
12-09-2023,1017754.307,,
13-09-2023,1022355.16,,
14-09-2023,1028947.788,,
15-09-2023,1020586.496,,
18-09-2023,1014674.368,,
19-09-2023,1013815.161,,
20-09-2023,1002097.014,,
21-09-2023,997264.5913,,
22-09-2023,992295.1065,,
25-09-2023,993094.2462,,
26-09-2023,984052.2691,,
27-09-2023,983327.7493,,
28-09-2023,985185.2167,,
29-09-2023,985731.7683,,
02-10-2023,991599.6697,,
03-10-2023,977009.7916,,
04-10-2023,985797.4179,,
05-10-2023,987573.866,,
06-10-2023,999946.4498,,
09-10-2023,1004261.764,,
10-10-2023,1003981.478,,
11-10-2023,1016047.965,,
12-10-2023,1014796.751,,
13-10-2023,1008234.852,,
16-10-2023,1019367.07,,
17-10-2023,1017672.769,,
18-10-2023,1010789.502,,
19-10-2023,1009506.327,,
20-10-2023,992912.9202,,
23-10-2023,997404.3251,,
24-10-2023,1000831.829,,
25-10-2023,1016165.51,,
26-10-2023,991198.2294,,
27-10-2023,991157.5487,,
30-10-2023,1008078.702,,
31-10-2023,1009670.522,,
01-11-2023,1027929.915,,
02-11-2023,1039515.059,,
03-11-2023,1050305.44,,
06-11-2023,1059006.976,,
07-11-2023,1066269.147,,
08-11-2023,1072574.818,,
09-11-2023,1063448.813,,
10-11-2023,1085169.851,,
13-11-2023,1078870.917,,
14-11-2023,1090610.467,,
15-11-2023,1094264.8,,
16-11-2023,1107883.223,,
17-11-2023,1097580.862,,
20-11-2023,1115549.873,,
21-11-2023,1104238.425,,
22-11-2023,1115451.025,,
24-11-2023,1115071.573,,
27-11-2023,1116804.551,,
28-11-2023,1127594.836,,
29-11-2023,1122579.922,,
30-11-2023,1128063.715,,
01-12-2023,1124243.095,,
04-12-2023,1111745.894,,
05-12-2023,1115886.558,,
06-12-2023,1103298.99,,
07-12-2023,1110047.642,,
08-12-2023,1116776.256,,
11-12-2023,1110460.878,,
12-12-2023,1121519.33,,
13-12-2023,1126897.286,,
14-12-2023,1114845.08,,
15-12-2023,1127093.31,,
18-12-2023,1133894.011,,
19-12-2023,1139161.259,,
20-12-2023,1126471.192,,
21-12-2023,1138348.919,,
22-12-2023,1142347.563,,
26-12-2023,1143011.604,,
27-12-2023,1143744.59,,
28-12-2023,1147689.522,,
29-12-2023,1148430.657,,
02-01-2024,1139874.064,,
03-01-2024,1138058.87,,
04-01-2024,1135023.554,,
